R4A_Id	CompoundID	PLD_Effect(%)_A549-ACE2	Label_A549-ACE2	HIT_Phospholipidosis  Y/N	CompoundID_dupl	NAME	PLD_Effect(%)_VERO-E6	Label_VERO-E6
R4A_0005045_001	SPE_K69035426	-0.079341047	inactive	N	SPE_K69035426	Omeprazole sulphide	-4.05	inactive
R4A_0002224_001	SPE_A04497688	0.064754054	inactive	N	SPE_A04497688	Trilostane	-0.39	inactive
R4A_0003528_001	SPE_K72226571	-0.04605179	inactive	N	SPE_K72226571	A77636	-0.25	inactive
R4A_0000349_001	SPE_K06182768	0.054665835	inactive	N	SPE_K06182768	A-366	-2.04	inactive
R4A_0000304_001	SPE_K79595931	-0.027671655	inactive	N	SPE_K79595931	Bavisant (dihydrochloride hydrate)	-1.81	inactive
R4A_0003592_001	SPE_A64406146	0.054876464	inactive	N	SPE_A64406146	timofibrate	-4.08	inactive
R4A_0001874_001	SPE_K16077845	-0.036899002	inactive	N	SPE_K16077845	fentiazac	-1.64	inactive
R4A_0001381_001	SPE_A49544621	0.246683976	inactive	N	SPE_A49544621	AC-7954-(+/-)	27.54	inactive
R4A_0002083_001	SPE_K48735772	-0.16485176	inactive	N	SPE_K48735772	PD-158780	-7.32	inactive
R4A_0003856_001	SPE_A11069678	-0.079262737	inactive	N	SPE_A11069678	rac-BHFF	-2.16	inactive
R4A_0001824_001	SPE_A22707317	-0.052338268	inactive	N	SPE_A22707317	SB-205384	-2.02	inactive
R4A_0003669_001	SPE_K64852730	-0.010579967	inactive	N	SPE_K64852730	TTP-22	-1.68	inactive
R4A_0002756_001	SPE_A20758144	-0.005162557	inactive	N	SPE_A20758144	PRASTERONE ACETATE	0.97	inactive
R4A_0000679_001					SPE_A39791822	HYDROXYPROGESTERONE	0.05	inactive
R4A_0000302_001					SPE_K93900986	stetaderm	1.58	inactive
R4A_0005353_001	SPE_K98521173	-0.05897897	inactive	N	SPE_K98521173	desoxycortone	-9.19	inactive
R4A_0001608_001	SPE_A10662413	0.946319757	active	Y	SPE_A10662413	prenylamine	33.21	inactive
R4A_0005374_001	SPE_K77552740	-0.029704331	inactive	N	SPE_K77552740	Tiquizium bromide	-3.77	inactive
R4A_0001490_001	SPE_K11510141	-0.135402724	inactive	N	SPE_K11510141	Teprenone	-7.33	inactive
R4A_0005522_001	SPE_K78010432	-0.018578405	inactive	N	SPE_K78010432	FUROSEMIDE	-2.4	inactive
R4A_0000861_001					SPE_K77139516	ESI-09	-1.63	inactive
R4A_0000066_001					SPE_K34098590	tienilic-acid	-7.59	inactive
R4A_0001676_001	SPE_K08807999	-0.052505071	inactive	N	SPE_K08807999	NO-ASA	0.5	inactive
R4A_0000762_001	SPE_K36862742	-0.078261987	inactive	N	SPE_K36862742	HYDROFLUMETHIAZIDE	-2.43	inactive
R4A_0002728_001	SPE_K04804440	-0.068953923	inactive	N	SPE_K04804440	CIPROFLOXACIN	-1.31	inactive
R4A_0003495_001	SPE_K54330070	-0.090586039	inactive	N	SPE_K54330070	SB-202190	-1.56	inactive
R4A_0003649_001					SPE_A57382968	PIROXICAM	-3.43	inactive
